0.079 s: rec : 1909.184 , 2520.316 , 1112.263 , 2026.500 , 1762.842 , 3599.342 , 3408.500 , 1373.605 , 1693.053 , 
0.14 s: rec : 1880.200 , 2471.771 , 1072.600 , 1975.286 , 1872.657 , 3388.314 , 3617.143 , 1200.657 , 1584.600 , 
0.202 s: rec : 1876.455 , 2465.394 , 981.667 , 1956.667 , 1871.818 , 2865.424 , 3723.455 , 1168.515 , 1496.818 , 
0.265 s: rec : 1804.941 , 2511.588 , 932.912 , 1939.471 , 1854.382 , 2770.677 , 3822.088 , 1160.206 , 1383.206 , 
0.327 s: rec : 1636.393 , 2486.678 , 932.571 , 1843.964 , 1874.429 , 2765.643 , 3835.750 , 1159.857 , 1190.143 , 
0.389 s: rec : 1236.882 , 2490.412 , 952.471 , 1820.029 , 1892.294 , 2790.088 , 3857.912 , 1182.706 , 1209.235 , 
0.452 s: rec : 1212.455 , 2461.242 , 938.515 , 1784.788 , 1865.515 , 2763.545 , 3833.970 , 1167.182 , 1190.727 , 
0.515 s: rec : 1203.333 , 2193.485 , 935.758 , 1776.788 , 1863.151 , 2751.879 , 3719.939 , 1163.151 , 1182.303 , 
0.577 s: rec : 1838.618 , 2432.529 , 1065.618 , 1947.559 , 1693.823 , 3458.588 , 3274.559 , 1326.941 , 1637.088 , 
0.641 s: rec : 1853.196 , 2428.283 , 1059.130 , 1937.370 , 1814.543 , 3357.543 , 3550.804 , 1185.152 , 1617.609 , 
0.703 s: rec : 1900.132 , 2478.342 , 979.789 , 1934.921 , 1824.447 , 2887.947 , 3606.158 , 1163.105 , 1490.895 , 
0.766 s: rec : 1775.368 , 2563.263 , 931.711 , 1934.921 , 1859.868 , 2763.895 , 3794.263 , 1158.474 , 1427.184 , 
0.828 s: rec : 1645.156 , 2563.219 , 934.562 , 1852.062 , 1920.156 , 2756.062 , 3813.469 , 1160.750 , 1189.594 , 
0.89 s: rec : 1292.429 , 2616.143 , 1008.857 , 1909.429 , 2029.000 , 2885.428 , 3934.572 , 1250.571 , 1276.286 , 
